Questions,Answers
Which algorithm can be used in value imputation in both categorical and continuous categories of data?,  KNN is the only algorithm that can be used for imputation of both categorical and continuous variables.
When should ridge regression be preferred over lasso?,  We should use ridge regression when we want to use all predictors and not remove any as it reduces the coefficient values but does not nullify them.
Which algorithms can be used for important variable selection?,"  Random Forest, Xgboost and plot variable importance charts can be used for variable selection."
What ensemble technique is used by Random forests?,  Bagging is the technique used by Random Forests. Random forests are a collection of trees which work on sampled data from the original dataset with the final prediction being a voted average of all trees.
What ensemble technique is used by gradient boosting trees?,  Boosting is the technique used by GBM.
If we have a high bias error what does it mean? How to treat it?,"  High bias error means that that model we are using is ignoring all the important trends in the model and the model is underfitting.
 To reduce underfitting:We need to increase the complexity of the model
 Number of features need to be increasedSometimes it also gives the impression that the data is noisy. Hence noise from data should be removed so that most important signals are found by the model to make effective predictions.
 Increasing the number of epochs results in increasing the duration of training of the model. It's helpful in reducing the error."
Which type of sampling is better for a classification model and why?,"  Stratified sampling is better in case of classification problems because it takes into account the balance of classes in train and test sets. The proportion of classes is maintained and hence the model performs better. In case of random sampling of data, the data is divided into two parts without taking into consideration the balance classes in the train and test sets. Hence some classes might be present only in tarin sets or validation sets. Hence the results of the resulting model are poor in this case."
What is a good metric for measuring the level of multicollinearity?,"  VIF or 1/tolerance is a good measure of measuring multicollinearity in models. VIF is the percentage of the variance of a predictor which remains unaffected by other predictors. So higher the VIF value, greater is the multicollinearity amongst the predictors.
 A rule of thumb for interpreting the variance inflation factor: 1 = not correlated.
 Between 1 and 5 = moderately correlated.
 Greater than 5 = highly correlated."
When can be a categorical value treated as a continuous variable and what effect does it have when done so?,  A categorical predictor can be treated as a continuous one when the nature of data points it represents is ordinal. If the predictor variable is having ordinal data then it can be treated as continuous and its inclusion in the model increases the performance of the model.
What is the role of maximum likelihood in logistic regression.,  Maximum likelihood equation helps in estimation of most probable values of the estimator's predictor variable coefficients which produces results which are the most likely or most probable and are quite close to the truth values.
Which distance do we measure in the case of KNN?,  The hamming distance is measured in case of KNN for the determination of nearest neighbours. Kmeans uses euclidean distance.
What is a pipeline?,  A pipeline is a sophisticated way of writing software such that each intended action while building a model can be serialized and the process calls the individual functions for the individual tasks. The tasks are carried out in sequence for a given sequence of data points and the entire process can be run onto n threads by use of composite estimators in scikit learn.
Which sampling technique is most suitable when working with time-series data?,  We can use a custom iterative sampling such that we continuously add samples to the train set. We only should keep in mind that the sample used for validation should be added to the next train sets and a new sample is used for validation.
What are the benefits of pruning?,"  Pruning helps in the following: Reduces overfitting
 Shortens the size of the tree
 Reduces complexity of the model
 Increases bias"
What is normal distribution?,"  The †distribution having the below properties is called normal distribution. The mean, mode and median are all equal.
 The curve is symmetric at the center (i.e. around the mean, ?).
 Exactly half of the values are to the left of center and exactly half the values are to the right.
 The total area under the curve is 1."
What is the 68 per cent rule in normal distribution?,  The normal distribution is a bell-shaped curve. Most of the data points are around the median. Hence approximately †68 per cent of the data is around the median. Since there is no skewness and its bell-shaped.
What is a chi-square test?,"  A chi-square determines if a sample data matches a population.
 A chi-square test for independence compares two variables in a contingency table to see if they are related.
 A very small chi-square test statistics implies observed data fits the expected data extremely well."
What is a random variable?,  A Random Variable is a set of possible values from a random experiment. Example: Tossing a coin: we could get Heads or Tails. Rolling of a dice: we get 6 values
What is the degree of freedom?,  It is the number of independent values or quantities which can be assigned to a statistical distribution. It is used in Hypothesis testing and chi-square test.
Which kind of recommendation system is used by amazon to recommend similar items?,  Amazon uses a collaborative filtering algorithm for the recommendation of similar items. It's a user to user similarity based mapping of user likeness and susceptibility to buy.
What is a false positive?,"  It is a test result which wrongly indicates that a particular condition or attribute is present.
 Example  - ""Stress testing, a routine diagnostic tool used in detecting heart disease, results in a significant number of false positives in women. ""ù"
What is a false negative?,"  A test result which wrongly indicates that a particular condition or attribute is absent.
 Example   - ""it's possible to have a false negative Äîthe test says you aren't pregnant when you are """
What is the error term composed of in regression?,  Error is a sum of bias error+variance error+ irreducible error in regression. Bias and variance error can be reduced but not the irreducible error.
Which performance metric is better R2 or adjusted R2?,  Adjusted R2 because the performance of predictors impacts it. R2 is independent of predictors and shows performance improvement through increase if the number of predictors is increased.
What's the difference between Type I and Type II error?,"Type I and Type II error in machine learning refers to false values. Type I is equivalent to a False positive while Type II is equivalent to a False negative. In Type I error, a hypothesis which ought to be accepted doesn't get accepted. Similarly, for Type II error, the hypothesis gets rejected which should have been accepted in the first place."
What do you understand by L1 and L2 regularization?  ,"L2 regularization: It tries to spread error among all the terms. L2 corresponds to a Gaussian prior.
 L1 regularization: It is more binary/sparse, with many variables either being assigned a 1 or 0 in weighting. L1 corresponds to setting a Laplacean prior on the terms."
"Which one is better, Naive Bayes Algorithm or Decision Trees? ","Although it depends on the problem you are solving, but some general advantages are following:
 Naive Bayes:
Work well with small dataset compared to DT which need more data
 Lesser overfitting
 Smaller in size and faster in processing
Decision Trees:
Decision Trees are very flexible, easy to understand, and easy to debug
 No preprocessing or transformation of features required
 Prone to overfitting but you can use pruning or Random forests to avoid that."
What do you mean by the ROC curve?,"Receiver operating characteristics (ROC curve): ROC curve illustrates the diagnostic ability of a binary classifier. It is calculated/created by plotting True Positive against False Positive at various threshold settings. The performance metric of ROC curve is AUC (area under curve). Higher the area under the curve, better the prediction power of the model."
What do you mean by AUC curve?,"AUC (area under curve). Higher the area under the curve, better the prediction power of the model."
What is log likelihood in logistic regression?,"It is the sum of the likelihood residuals. At record level, the natural log of the error (residual) is calculated for each record, multiplied by minus one, and those values are totaled. That total is then used as the basis for deviance (2 x ll) and likelihood (exp(ll)).
 The same calculation can be applied to a naive model that assumes absolutely no predictive power, and a saturated model assuming perfect predictions.
 The likelihood values are used to compare different models, while the deviances (test, naive, and saturated) can be used to determine the predictive power and accuracy. Logistic regression accuracy of the model will always be 100 percent for the development data set, but that is not the case once a model is applied to another data set."
How would you evaluate a logistic regression †model?,"Model Evaluation is a very important part in any analysis to answer the following questions,
 How well does the model fit the data?, Which predictors are most important?, Are the predictions accurate?
 So the following are the criterion to access the model performance,
 1. Akaike Information Criteria (AIC): In simple terms, AIC estimates the relative amount of information lost by a given model. So the less information lost the higher the quality of the model. Therefore, we always prefer models with minimum AIC.
 2. Receiver operating characteristics (ROC curve): ROC curve illustrates the diagnostic ability of a binary classifier. It is calculated/ created by plotting True Positive against False Positive at various threshold settings. The performance metric of ROC curve is AUC (area under curve). Higher the area under the curve, better the prediction power of the model.
 3. Confusion Matrix: In order to find out how well the model does in predicting the target variable, we use a confusion matrix/ classification rate. It is nothing but a tabular representation of actual Vs predicted values which helps us to find the accuracy of the model."
What are the advantages of SVM algorithms?,"SVM algorithms have basically advantages in terms of complexity. First I would like to clear that both Logistic regression as well as SVM can form non linear decision surfaces and can be coupled with the kernel trick. If Logistic regression can be coupled with kernel then why use SVM?
  óè SVM is found to have better performance practically in most cases.
  óè  SVM is computationally cheaper O(N^2*K) where K is no of support vectors (support vectors are those points that lie on the class margin) where as logistic regression is O(N^3)
  óè Classifier in SVM depends only on a subset of points . Since we need to maximize distance between closest points of two classes (aka margin) we need to care about only a subset of points unlike logistic regression."
Why does XGBoost perform better than SVM?,"First reason is that XGBoos is an ensemble method that uses many trees to make a decision so it gains power by repeating itself.
 SVM is a linear separator, when data is not linearly separable SVM needs a Kernel to project the data into a space where it can separate it, there lies its greatest strength and weakness, by being able to project data into a high dimensional space SVM can find a linear separation for almost any data but at the same time it needs to use a Kernel and we can argue that there's not a perfect kernel for every dataset."
What is the difference between SVM Rank and SVR (Support Vector Regression)?,"One is used for ranking and the other is used for regression.
 There is a crucial difference between regression and ranking. In regression, the absolute value is crucial. A real number is predicted.
 In ranking, the only thing of concern is the ordering of a set of examples. We only want to know which example has the highest rank, which one has the second-highest, and so on. From the data, we only know that example 1 should be ranked higher than example 2, which in turn should be ranked higher than example 3, and so on. We do not know by how much example 1 is ranked higher than example 2, or whether this difference is bigger than the difference between examples 2 and 3."
What is the difference between the normal soft margin SVM and SVM with a linear kernel?,"Hard-margin
 You have the basic SVM  hard margin. This assumes that data is very well behaved, and you can find a perfect classifier  which will have 0 error on train data.
 Soft-margin
 Data is usually not well behaved, so SVM hard margins may not have a solution at all. So we allow for a little bit of error on some points. So the training error will not be 0, but average error over all points is minimized.
 Kernels
 The above assume that the best classifier is a straight line. But what is it is not a straight line. (e.g. it is a circle, inside a circle is one class, outside is another class). If we are able to map the data into higher dimensions  the higher dimension may give us a straight line."
How is linear classifier relevant to SVM?,"An svm is a type of linear classifier. If you don't mess with kernels, it's arguably the most simple type of linear classifier.
 Linear classifiers (all?) learn linear fictions from your data that map your input to scores like so: scores = Wx + b. Where W is a matrix of learned weights, b is a learned bias vector that shifts your scores, and x is your input data. This type of function may look familiar to you if you remember y = mx + b from high school.
 A typical svm loss function ( the function that tells you how good your calculated scores are in relation to the correct labels ) would be hinge loss. It takes the form: Loss = sum over all scores except the correct score of max(0, scores  scores(correct class) + 1)."
What are the advantages of using a naive Bayes for classification? ,"Very simple, easy to implement and fast.
 If the NB conditional independence assumption holds, then it will converge quicker than discriminative models like logistic regression.
 Even if the NB assumption doesn't hold, it works great in practice.
 Need less training data.
 Highly scalable. It scales linearly with the number of predictors and data points.
 Can be used for both binary and mult-iclass classification problems.
 Can make probabilistic predictions.
 Handles continuous and discrete data.
 Not sensitive to irrelevant features."
Are Gaussian Naive Bayes the same as binomial Naive Bayes?,"Binomial Naive Bayes: It assumes that all our features are binary such that they take only two values. Means 0s can represent  - ""word does not occur in the document "" and 1s as  - ""word occurs in the document "".
 Gaussian Naive Bayes: Because of the assumption of the normal distribution, Gaussian Naive Bayes is used in cases when all our features are continuous. For example in Iris dataset features are sepal width, petal width, sepal length, petal length. So its features can have different values in the data set as width and length can vary. We can't represent features in terms of their occurrences. This means data is continuous. Hence we use Gaussian Naive Bayes here."
What is the difference between the Naive Bayes Classifier and the Bayes classifier?,"Naive Bayes assumes conditional independence, P(X|Y, Z)=P(X|Z)
 P(X|Y,Z)=P(X|Z)
 P(X|Y,Z)=P(X|Z), Whereas more general Bayes Nets (sometimes called Bayesian Belief Networks), will allow the user to specify which attributes are, in fact, conditionally independent.
 For the Bayesian network as a classifier, the features are selected based on some scoring functions like Bayesian scoring function and minimal description length(the two are equivalent in theory to each other given that there is enough training data). The scoring functions mainly restrict the structure (connections and directions) and the parameters(likelihood) using the data. After the structure has been learned the class is only determined by the nodes in the Markov blanket(its parents, its children, and the parents of its children), and all variables given the Markov blanket are discarded."
In what real world applications is Naive Bayes classifier used?,"Some of real world examples are as given below To mark an email as spam, or not spam?
 Classify a news article about technology, politics, or sports?
 Check a piece of text expressing positive emotions, or negative emotions?
 Also used for face recognition software"
Is naive Bayes supervised or unsupervised? ,"First, Naive Bayes is not one algorithm but a family of Algorithms that inherits the following attributes:
 1.Discriminant Functions
 2.Probabilistic Generative Models
 3.Bayesian Theorem
 4.Naive Assumptions of Independence and Equal Importance of feature vectors.
 Moreover, it is a special type of Supervised Learning algorithm that could do simultaneous multi-class predictions (as depicted by standing topics in many news apps).
 Since these are generative models, so based upon the assumptions of the random variable mapping of each feature vector these may even be classified as Gaussian Naive Bayes, Multinomial Naive Bayes, Bernoulli Naive Bayes, etc."
What do you understand by selection bias in Machine Learning?,"Selection bias stands for the bias which was introduced by the selection of individuals, groups or data for doing analysis in a way that the proper randomization is not achieved. It ensures that the sample obtained is not representative of the population intended to be analyzed and sometimes it is referred to as the selection effect. This is the part of distortion of a statistical analysis which results from the method of collecting samples. If you don't take the † selection bias into the account then some conclusions of the study may not be accurate.
 The types of selection bias includes: Sampling bias: It is a systematic error due to a non-random sample of a population causing some members of the population to be less likely to be included than others resulting in a biased sample.
 Time interval: A trial may be terminated early at an extreme value (often for ethical reasons), but the extreme value is likely to be reached by the variable with the largest variance, even if all variables have a similar mean.
 Data: When specific subsets of data are chosen to support a conclusion or rejection of bad data on arbitrary grounds, instead of according to previously stated or generally agreed criteria.
 Attrition: Attrition bias is a kind of selection bias caused by attrition (loss of participants) discounting trial subjects/tests that did not run to completion."
What do you understand by Precision and Recall?,"In pattern recognition, The information retrieval and classification in machine learning are part of precision. It is also called as positive predictive value which is the fraction of relevant instances among the retrieved instances.
 Recall is also known as sensitivity and the fraction of the total amount of relevant instances which † were actually retrieved.
 Both precision and recall are therefore based on an understanding and measure of relevance."
What Are the Three Stages of Building a Model in Machine Learning?,"To build a model in machine learning, you need to follow few steps: Understand the business model
 Data acquisitions
 Data cleaning
 Exploratory data analysis
 Use machine learning algorithms to make a model
 Use unknown dataset to check the accuracy of the model"
How Do You Design an Email Spam Filter in Machine Learning?,"Understand the business model: Try to understand the related attributes for the spam mail
 Data acquisitions: Collect the spam mail to read the hidden pattern from them
 Data cleaning: Clean the unstructured or semi structured data
 Exploratory data analysis: Use statistical concepts to understand the data like spread, outlier, etc.
 Use machine learning algorithms to make a model: can use naive bayes or some other algorithms as well
 Use unknown dataset to check the accuracy of the model"
What is the difference between Entropy and Information Gain?,"The information gain is based on the decrease in entropy after a dataset is split on an attribute. Constructing a decision tree is all about finding the attribute that returns the highest information gain (i.e., the most homogeneous branches). Step 1: Calculate entropy of the target."
What are collinearity and multicollinearity?,Collinearity is a linear association between two predictors. Multicollinearity is a situation where two or more predictors are highly linearly related.
What is Kernel SVM?,"SVM algorithms have basically advantages in terms of complexity. First I would like to clear that both Logistic regression as well as SVM can form non linear decision surfaces and can be coupled with the kernel trick. If Logistic regression can be coupled with kernel then why use SVM?
  óè SVM is found to have better performance practically in most cases.
  óè SVM is computationally cheaper O(N^2*K) where K is no of support vectors (support vectors are those points that lie on the class margin) where as logistic regression is O(N^3)
  óè Classifier in SVM depends only on a subset of points . Since we need to maximize distance between closest points of two classes (aka margin) we need to care about only a subset of points unlike logistic regression."
What is the process of carrying out a linear regression?,"Linear Regression Analysis consists of more than just fitting a linear line through a cloud of data points. It consists of 3 stages
 (1) analyzing the correlation and directionality of the data,
 (2) estimating the model, i.e., fitting the line,
 and (3) evaluating the validity and usefulness of the model."
 Describe 'machine learning'.,"The vast majority of your employers are probably going to ask you something similar to this as a first question. This is done for a couple of reasons.
 First of all, your interviewers can't proceed with other general machine learning interview questions before they see if you have an idea of what 'machine learning' even is in the first place. Furthermore, the way that you answer will show just how well you can think of your definitions - or, in other words, how well can you explain a difficult topic in an easily understandable way. If you just spit out a twenty-liner that you spent the whole night memorizing from some random science journal, it will probably give you less credibility than if you were to think of a way to explain it yourself.
 So‚Ä¶ What is machine learning?
 Probably the easiest and most understandable way to describe machine learning is to call it a specific philosophy of AI development. It is a field of science that is concerned with how to make machines that would learn from the information provided to them, without being programmed to do so beforehand."
 What is 'deep learning'?,"Since deep learning is so closely intertwined with machine learning, you might even get cross deep and machine learning interview questions.
 Deep learning is a branch of machine learning. This branch of science is concerned with making the machine's neural networks resemble a human brain as closely as possible."
 What's the difference between 'type 1' and 'type 2' errors?,"Type 1 errors claim that something has happened when, in actuality, it was impossible for it to happen. Type 2 errors do the opposite - claim that nothing happened when it did.
 For example, here's a good method to help you remember the difference between the two types of errors: just imagine that a type 1 error is when you tell your dog that he is a cat, while a type two error is when you tell the same dog that dogs can't bark."
 What is 'data augmentation'?,"One of the simpler machine learning interview questions, data augmentation is a way of modifying and creating new data out of the old one. The way that this is done is by leaving the target as it is or simply changing it into something that is already known."
 Why are is 'naive Bayes' called that?,"Naive Bayes is called naive because of the way that it thinks. It assumes that every element in a data set is the same when it comes to their importance. Needless to say, that is seldom the case in a day-to-day scenario."
 Which ones are better - deep networks or shallow ones?,"You could classify this as one of the comparison machine learning interview questions, for you have to know quite a bit about both of the networks and also be able to compare them to find the clear difference.
 Deep networks are usually considered to be a better alternative. This is simply because they are comprised of more layers, most of which are hidden - this helps deep networks extract and build better features."
 What's 'Fourier transform'?,"The 'Fourier transform' method is used to transform simple, generic functions into what are known as superfunctions. If this is one of the machine learning interview questions that you would like to expand a bit more on, you could compare it with a situation where you are given a car to take it apart and see all of the different components and parts that it's made out of."
 What's a 'convolutional network'?,"Normal, simple networks use connected layers to perform their processes. In turn, convolutional networks are those that, instead of using connected layers, use convolutional ones.
 The main reason why people prefer to use convolutional networks over the standard, connected-layer ones is that convolutional networks have a much smaller amount of parameters attributed to them."
 What should we know about the correlation between 'True Positive Rate' and 'Recall'?,"Although this sounds like one of the more advanced machine learning interview questions, the answer is pretty simple. Both of these metrics are identically equal. We can see this by looking at their formula: TP/TP + FN."
 What's a 'backpropagation'?,"A fancy-sounding term in of its own, backpropagation is simply a method of training for multilayered neural networks. We would train the network with this method by taking the 'error' from the very end of it and placing it inside every single weight within the network. This way, the machine has the opportunity to apply its computation effectively."
" What happens if we only use a 'validation set', without applying a 'test set'?","In machine learning interview questions, this one might come off as a tougher one.
 If you only applied a validation set, it would not provide an accurate estimate of all of the measurements of the model that you're trying to test. This is because the 'test set' is used to test how the model would perform on examples that it hadn't encountered up to that point in time. Thus, if you remove the test set, you automatically undermine the possibly valid test results, so to speak."
 What is the difference between deductive and inductive machine learning?,"The main difference is how they begin. Inductive machine learning begins with examples from which to conclude. Deductive machine learning begins with conclusions, then learns by deducing what wrong or what is right about that conclusion."
 How do variance and bias play out in machine learning?,They are both errors. Variance is an error that is the result of too much complexity in the machine learning algorithm. Bias is an error that is due to flawed assumptions in the learning algorithm. Do not mix these up since you will need to remember them in following machine learning interview questions.
 What is supervised learning and how it differs from unsupervised?,The supervised machine learning is a process in that outputs are fed back into a computer for the software to learn from and get more accurate results the next time. Unsupervised machine learning means that a computer will learn without initial training which is an alternative to supervised machine learning in which 'machine' receives initial training to start.
 How do you choose an algorithm for a classification problem?,"In this case, the answer depends on the degree of accuracy needed and the size of the training set. If the training set is small, it is recommended to choose a low variance/high bias classifier. If the situation is the opposite, the training set is large, then you should go for a high variance and low bias classifier."
 What's the difference between the 'generative' and 'discriminative' models?,"Although it might sound like one of the trick machine learning interview questions, your employers most likely just want to know how these models deal with data.
 A generative model, as the name implies, is going to put in the effort and learn the different categories of data that it's provided. As opposed to that, a discriminative model will just study the differences between the various data categories.
 Developers and engineers usually prefer to use the discriminative model, for it tends to handle its tasks faster and more efficiently."
 Explain the differences between 'cross-validation' and 'stratified cross-validation'.,"The simple cross-validation is used to randomly separate data between the period of training and the validation set. Stratified cross-validation does the same thing, but without the random variable - it does track and preserve the ration of training vs validation testing. This is one of those machine learning interview questions that might be easy to mix up, so watch out for that!"
 In what situations should you use a 'Lasso' and a 'Ridge' regressions?,"This falls into the category of advanced machine learning engineer interview questions mainly because you do need some in-depth knowledge concerning both types of regressions to provide a valid answer.
 The Lasso regression can perform both functions of selecting variables and shrinking parameters, while a Ridge regression can only be used for the latter. On that thought, you would most likely use Lasso regression when you have just a few variables and a big effect. In turn, a Ridge regression should be used when there are plenty of small variables.
 This is a good example of those machine learning interview questions that you could expand upon with your answer, not just give a generic one-liner."
 What's 'F1'?,"No, it's not a key on your keyboard that you can just press for the answer.
 The F1 score is a measurement of just how well is your model doing. Anything close to the '1' mark is great, anything below the '0,5' mark should be worked upon."
" In most cases, which one of the two has a higher score - ensembles or individual models?","Ensembles are usually ones that provide a bigger score. It is because they are simply combinations of various models, made to predict a one, particular outcome. The more models there are, the more errors they can sort through - the better the end prediction score will be."
 What's the difference between 'correlation' and 'covariance'?,"This will be one of the advanced machine learning interview questions only if you don't know how these two correlate (no pun intended).
 If you do know, however, then the answer is pretty simple: covariance becomes¬†a¬†correlation once it is standardized."
 Describe an 'imbalanced dataset'.,"An imbalanced dataset is a set that, after testing, brings back the results that more than half of the entire information is stationed in just one class.
 How can you avoid this? Well, there are a couple of simple solutions - either perform the test again using a different algorithm or try to test an even larger amount of data so that the results would even out."
 What is 'data normalization'?,"Remember when we talked about 'backpropagation' in the previous machine learning interview questions? Well, data normalization is used to minimize the redundancy of data within the process of backpropagation. It allows the user to rescale different values as he sees fit, thus eliminating possible redundancy issues."
 Could you capture the correlation between categorical and continuous variables?,"Well, you could, but you would have to use what is known as the Analysis of Covariance (ANCOVA) method. Using it, you could capture the correlation."
 What is the activation function used for?,This function allows you to diversify your network by introducing non-linear methods of learning. What this will do is that it will help your machine to learn how to process difficult processes more easily.
